epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.85574,1.42028,2.95194,1.6399,0.31573,0.8,0.53047,0.37251,1.04086,2.95531,1.35682,0.000125,0.000125,0.000125
2,7.64429,1.24309,1.69285,1.42811,0.87463,0.89444,0.94707,0.70838,1.0518,1.83625,1.25571,0.000245175,0.000245175,0.000245175
3,9.74308,1.13415,1.39065,1.30608,0.81029,0.94444,0.94495,0.72787,0.99252,1.18499,1.1762,0.0003472,0.0003472,0.0003472
4,11.8408,1.10256,1.14745,1.26678,0.81437,0.89444,0.90835,0.69991,1.05141,1.1896,1.24088,0.000431075,0.000431075,0.000431075
5,13.7923,1.11239,1.18809,1.30189,0.67738,0.86111,0.9084,0.69513,1.055,1.38165,1.23915,0.0004968,0.0004968,0.0004968
6,16.9787,1.01076,1.16415,1.23233,0.94318,0.93405,0.9544,0.71891,1.08643,1.1066,1.25808,0.000544375,0.000544375,0.000544375
7,19.7634,0.98278,1.09781,1.21599,0.63731,0.72286,0.66654,0.49693,1.09411,3.70503,1.27648,0.0005738,0.0005738,0.0005738
8,22.747,0.98303,1.05551,1.17713,0.75671,0.775,0.74663,0.56151,1.11172,1.87127,1.35186,0.000585075,0.000585075,0.000585075
9,24.6232,0.97912,0.98596,1.28743,0.75671,0.775,0.74663,0.56151,1.11172,1.87127,1.35186,0.0005782,0.0005782,0.0005782
10,26.8331,0.94418,0.93049,1.19629,0.82668,0.84524,0.92334,0.6867,1.11718,1.18638,1.28298,0.0005075,0.0005075,0.0005075
11,28.888,0.88293,0.89678,1.08289,0.94005,0.95911,0.995,0.74529,1.121,0.6821,1.29547,0.000425,0.000425,0.000425
12,31.7453,0.91472,0.86319,1.14996,0.94005,0.95911,0.995,0.74529,1.121,0.6821,1.29547,0.0003425,0.0003425,0.0003425
13,33.8137,0.88197,0.77484,1.07536,0.95487,0.97491,0.995,0.74324,1.07827,0.61566,1.26002,0.00026,0.00026,0.00026
14,35.7643,0.92179,0.78697,1.15287,0.92233,1,0.995,0.73852,1.06735,0.5608,1.23703,0.0001775,0.0001775,0.0001775
15,38.5005,0.84504,0.73361,1.11941,0.92233,1,0.995,0.73852,1.06735,0.5608,1.23703,9.5e-05,9.5e-05,9.5e-05
